sample,local_idx,sample_idx,method,reference,Vs1,H,CoV,Vs2,rel_l2_low,rel_l2_low_central,rel_l2_mid,rel_l2_mid_central,rel_l2_high,rel_l2_high_central,rel_l2_all,rel_l2_all_central
8,732,5674,GINO,OpenSees 2-D,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,0.1328229465155696,0.0906747704261839,0.1348637964708313,0.0768914348850489,0.6264287573638141,0.3269132477379269,0.6014218264262633,0.3020055954160049
8,732,5674,1D Base Case,OpenSees 2-D,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,0.006165265788873,0.0059719198243128,0.2503393209834084,0.2449775969415484,0.8604862582441206,0.7923481236521381,0.8266024212942006,0.7323042939106191
8,732,5674,Pretell's approach,OpenSees 2-D,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,0.0022021184925328,0.002139417943612,0.1724303476191427,0.1275739838102465,0.7062248804983291,0.3773282651720085,0.6778924945718138,0.3491505293260443
8,732,5674,Toro Vs,OpenSees 2-D,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,0.0051228288790149,0.0051228288790149,0.2024387426084332,0.2024387426084332,0.5767640962458382,0.5767640962458382,0.5339955200027551,0.5339955200027551
8,732,5674,Passeri tts,OpenSees 2-D,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,0.005969288391433,0.005969288391433,0.2446735341588621,0.2446735341588621,0.7747445821444255,0.7747445821444255,0.7162241677517377,0.7162241677517377
8,732,5674,Pretell,OpenSees 2-D,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,0.0013875238245598,0.0013875238245598,0.0469692306367842,0.0469692306367842,0.4187700682072237,0.4187700682072237,0.3849797648283276,0.3849797648283276
9,483,3823,GINO,OpenSees 2-D,189.73753870077093,82.0,0.2549427602440118,1125.5531570163855,0.1119124576322446,0.1490643309739969,0.3138923703996422,0.349161667392975,0.3791873263483387,0.3607201663186919,0.2869916804937896,0.3126210333704366
9,483,3823,1D Base Case,OpenSees 2-D,189.73753870077093,82.0,0.2549427602440118,1125.5531570163855,0.3198898484781159,0.2998120671440715,0.6100976420606117,0.5875091733802115,0.5873791199968813,0.6182507699973174,0.5430087336927566,0.535242958047456
9,483,3823,Pretell's approach,OpenSees 2-D,189.73753870077093,82.0,0.2549427602440118,1125.5531570163855,0.4358055826587509,0.145494758439507,0.5627320637579613,0.3464634866655788,0.4487636004104298,0.4469960805519096,0.5140079731055412,0.3324250915814973
9,483,3823,Toro Vs,OpenSees 2-D,189.73753870077093,82.0,0.2549427602440118,1125.5531570163855,0.2282113435217334,0.2282113435217334,0.369384017281297,0.369384017281297,0.626409749193992,0.626409749193992,0.4076954494513269,0.4076954494513269
