sample,local_idx,sample_idx,rf_seed,Vs1,H,CoV,Vs2,f0,reference,method,f_peak,A_peak,delta_f_peak,delta_ln_A_peak,gof_af,rel_l2,pearson,sigma_ln_spatial_mean
5,189,1405,8743143,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,Toro Vs,1.911090612411499,5.335995373841521,0.2314157485961914,-1.3725928786055357,0.3222628942428625,0.6579088208484917,0.6507621973517179,
5,189,1405,8743143,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,Passeri tts,1.9828839302062988,11.891513538789244,0.3032090663909912,-0.5712433225416713,0.3576748164624084,0.748642641474963,0.441510715956282,
5,189,1405,8743143,189.7341404244504,24.0,0.2855846079066395,895.9073790000466,1.976397296088025,OpenSees 2-D,Pretell,1.6719497442245483,7.577622539436096,-0.0077251195907592,-1.0218688189420664,0.1471067064139855,0.4720615821730458,0.9138399286478418,
6,812,6209,235664,134.14269923349184,26.0,0.2839863210916519,1130.6444920753804,1.289833646475883,OpenSees 2-D,OpenSees 2-D,1.2390621900558472,3.801650524139404,0.0,0.0,0.0,0.0,1.0,0.2765887900106593
6,812,6209,235664,134.14269923349184,26.0,0.2839863210916519,1130.6444920753804,1.289833646475883,OpenSees 2-D,GINO,1.5892828702926636,4.3524250984191895,0.3502206802368164,0.135297862759983,0.2280597398221579,0.5173736207669828,0.4906232437979074,0.3240719305016695
6,812,6209,235664,134.14269923349184,26.0,0.2839863210916519,1130.6444920753804,1.289833646475883,OpenSees 2-D,1D Base Case,1.2915496826171875,12.767023086547852,0.0524874925613403,1.211430204247057,0.16361427559732,0.9427989087109956,0.7347776826473897,5.976382118751255e-17
6,812,6209,235664,134.14269923349184,26.0,0.2839863210916519,1130.6444920753804,1.289833646475883,OpenSees 2-D,Pretell's approach,1.6338539123535156,13.370687484741213,0.3947917222976684,1.2576294888545254,0.2555925028486845,1.1139606234619914,0.4129302680824341,0.3137099472051433
6,812,6209,235664,134.14269923349184,26.0,0.2839863210916519,1130.6444920753804,1.289833646475883,OpenSees 2-D,Toro Vs,1.2505385875701904,5.336001492057935,0.0114763975143432,0.3390412673462435,0.1258688639005155,0.3828662945959963,0.8968054966311616,
6,812,6209,235664,134.14269923349184,26.0,0.2839863210916519,1130.6444920753804,1.289833646475883,OpenSees 2-D,Passeri tts,1.2915496826171875,11.897859990853838,0.0524874925613403,1.140923230356194,0.1626796318878219,0.9053874068913332,0.7441731705663954,
6,812,6209,235664,134.14269923349184,26.0,0.2839863210916519,1130.6444920753804,1.289833646475883,OpenSees 2-D,Pretell,1.1299339532852173,5.893792516295656,-0.1091282367706298,0.4384643602790556,0.1668666533275739,0.4151948616497514,0.8767334703084908,
7,87,700,6161657,164.11181541402712,95.0,0.1591707941144705,1049.1750357007936,0.4318731984579661,OpenSees 2-D,OpenSees 2-D,0.4136343598365783,11.77719020843506,0.0,0.0,0.0,0.0,1.0,0.1106799568614469
7,87,700,6161657,164.11181541402712,95.0,0.1591707941144705,1049.1750357007936,0.4318731984579661,OpenSees 2-D,GINO,0.4079534411430359,10.807689666748049,-0.0056809186935424,-0.085906740613939,0.0964042096512085,0.2448995873980512,0.9373377290377164,0.0758961828492381
7,87,700,6161657,164.11181541402712,95.0,0.1591707941144705,1049.1750357007936,0.4318731984579661,OpenSees 2-D,1D Base Case,0.4331483244895935,12.759525299072266,0.0195139646530151,0.0801134473892177,0.1541602455339744,0.4062337413042093,0.8298135155179717,8.051619801594815e-17
7,87,700,6161657,164.11181541402712,95.0,0.1591707941144705,1049.1750357007936,0.4318731984579661,OpenSees 2-D,Pretell's approach,0.4351496398448944,14.99793529510498,0.021515280008316,0.241747917066651,0.1214000932281224,0.4091764929642795,0.8410401744991075,0.1616440738274083
7,87,700,6161657,164.11181541402712,95.0,0.1591707941144705,1049.1750357007936,0.4318731984579661,OpenSees 2-D,Toro Vs,0.4174655377864837,5.335956521181459,0.0038311779499053,-0.7916964671925893,0.1706181889418253,0.4865829497252036,0.7653860761855973,
