sample,local_idx,sample_idx,method,reference,Vs1,H,CoV,Vs2,rel_l2_low,rel_l2_low_central,rel_l2_mid,rel_l2_mid_central,rel_l2_high,rel_l2_high_central,rel_l2_all,rel_l2_all_central
54,69,590,GINO,OpenSees 2-D,153.7319045966208,80.0,0.1293483335524797,877.634440604738,0.0715695309883079,0.1175747459197813,0.2096744100284127,0.1487935950528524,0.288295692637989,0.192537236135274,0.1614361172780455,0.1376123230136563
54,69,590,1D Base Case,OpenSees 2-D,153.7319045966208,80.0,0.1293483335524797,877.634440604738,0.2230445893878319,0.2213194792984789,0.4721054360529826,0.4751565960324899,0.5487809281331317,0.5196742949818742,0.3628819424418174,0.3562385752473264
54,69,590,Pretell's approach,OpenSees 2-D,153.7319045966208,80.0,0.1293483335524797,877.634440604738,0.1693555455570018,0.0312782022944165,0.4345796530880372,0.4031235625202015,0.4442750217600417,0.4683289494709895,0.3113085340867639,0.2720644850502925
55,410,3290,GINO,OpenSees 2-D,187.0582705142781,49.0,0.1122217904776334,1055.7186211362691,0.0708592285796918,0.0578447369270501,0.0675777638166592,0.0600114364221035,0.2240283845798189,0.1739767386044154,0.1193255720709282,0.0968789705996218
55,410,3290,1D Base Case,OpenSees 2-D,187.0582705142781,49.0,0.1122217904776334,1055.7186211362691,0.012205592788228,0.0129379525888416,0.2386545808581792,0.2396270725305045,0.4177231320997426,0.4291225155359973,0.2809156308433475,0.2866166853468845
55,410,3290,Pretell's approach,OpenSees 2-D,187.0582705142781,49.0,0.1122217904776334,1055.7186211362691,0.0069721217698064,0.0019266754728071,0.1773783216128893,0.0272783994007489,0.3397062098254441,0.3265627625057712,0.2181997723683789,0.154038531431813
56,689,5334,GINO,OpenSees 2-D,160.31606648834193,88.0,0.286337204836309,994.4471206508136,0.3362265041796037,0.3017596416034563,0.5358782803075306,0.5969384833280417,0.5737757194165415,0.5984055057674282,0.4166265132244764,0.4344268802679019
56,689,5334,1D Base Case,OpenSees 2-D,160.31606648834193,88.0,0.286337204836309,994.4471206508136,0.5504058528368796,0.5531580489470912,0.752450650430129,0.786701164548359,0.682001750720635,0.6169082478591054,0.6163611169724265,0.6380905142935525
56,689,5334,Pretell's approach,OpenSees 2-D,160.31606648834193,88.0,0.286337204836309,994.4471206508136,0.3703853726559701,0.5465034740013976,0.5662717380667834,0.7344185925688365,0.511702433762682,0.5058950424674169,0.4380071152830992,0.608810490359781
57,637,4929,GINO,OpenSees 2-D,162.21536391785304,25.0,0.1728468023240566,1334.955769257144,0.1203845401443364,0.14307540130609,0.2607664601304964,0.1480889121510867,0.328027199706616,0.3147393123707547,0.2758019211371914,0.2305962874373283
57,637,4929,1D Base Case,OpenSees 2-D,162.21536391785304,25.0,0.1728468023240566,1334.955769257144,0.0050702981837202,0.0077015154897357,0.4163656567340869,0.5560346651273577,0.4016983573205485,0.4279989119565939,0.3998326068005589,0.4909508692143826
57,637,4929,Pretell's approach,OpenSees 2-D,162.21536391785304,25.0,0.1728468023240566,1334.955769257144,0.0028531141241875,0.001221630588175,0.4092238414209544,0.4590306915750598,0.3010910355991008,0.1781994535066555,0.3687891574943567,0.3556144841391874
58,177,1286,GINO,OpenSees 2-D,155.18901866887444,47.0,0.1558289742097258,959.1791661360844,0.0493814340852306,0.0446527177865081,0.092812496667309,0.0843053508024969,0.3179633465657819,0.2996092296069766,0.1656217804976428,0.1624289212363892
58,177,1286,1D Base Case,OpenSees 2-D,155.18901866887444,47.0,0.1558289742097258,959.1791661360844,0.0296837902545047,0.0324203804295931,0.3584198371501604,0.37159238953266,0.4347256325835174,0.4880813651922391,0.3651289956870209,0.3927105359053964
58,177,1286,Pretell's approach,OpenSees 2-D,155.18901866887444,47.0,0.1558289742097258,959.1791661360844,0.0181805198043982,0.0129767216463123,0.2315905272579601,0.2189594814693111,0.3893622533214514,0.3996770023087793,0.2659751032940416,0.2678844439597661
59,736,5687,GINO,OpenSees 2-D,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,0.1062295837155102,0.0651026279190047,0.091309538745895,0.0710148596632755,0.3795479716306767,0.2777174780939113,0.3550088843513324,0.2487447300793561
59,736,5687,1D Base Case,OpenSees 2-D,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,0.0045987583626026,0.0012517264760946,0.2088585154846486,0.0651831087307934,0.5953385090342239,0.4966032655755059,0.5575933194116064,0.4418239005627495
59,736,5687,Pretell's approach,OpenSees 2-D,276.0262964964348,25.0,0.2678596438840032,1108.5087479781032,0.0017332234197058,0.0022752704169244,0.0833321350618761,0.0994348023505999,0.5202932583605919,0.9849683909574922,0.4848822963646973,0.875804259258695
60,982,7571,GINO,OpenSees 2-D,115.0111146854982,22.0,0.2216604843735695,1104.9944564163814,0.0725155520871648,0.0566786962337291,0.2968947543987935,0.3470760102966082,0.5614083596077046,0.3726722713851338,0.3368223639971582,0.3383020519179325
60,982,7571,1D Base Case,OpenSees 2-D,115.0111146854982,22.0,0.2216604843735695,1104.9944564163814,0.0271129783934112,0.021439818284574,0.7482979930386902,0.7844333137268852,0.6449127273132432,0.5787179245265988,0.710981925523752,0.7151020756608597
